ABN,Name,Main activity,Charity size,Full time staff,Part time staff,Volunteers
11552937411,THE TRUSTEE FOR THE SILBERSCHER FAMILY FOUNDATION,Grant-making activities,Small,0,0,0
11553267426,Reekara Landcare Group Incorporated,,Small,0,0,0
11553592765,Activ Foundation Inc,Other activity,Large,370,1756,188
11554751811,The Trustee For The Helpful Foundation,,Small,0,0,2
11554789001,SANCTUARY CHURCH INCORPORATED,Religious activities,Medium,1,4,20
11557605603,Uniting Church In Australia Burnie Parish,Religious activities,Small,0,0,0
11558346105,Uca - Mortdale,,Small,1,0,15
11562679680,Friends Of Music Incorporated,,Small,0,0,0
11563715017,KYDS Youth Development Service Incorporated,Mental health and crisis intervention,Medium,2,2,4
11563991556,St Mary's School,Primary and secondary education,Large,14,21,25
11565495500,Older Men Unlimited Hervey Bay Inc,Aged care activities,Small,1,0,90
11566496319,Australian National Capital Artists Inc,Culture and arts,Small,0,2,15
11569401714,Igreja Evangelica Assembleia De Deus Ministerio Do Belem Inc,Religious activities,Small,0,0,12
11570559592,Holy Spirit Parents And Friends Asssociation,Other education,Medium,0,0,50
11575267069,Telopea Korean Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,60
11585217838,Beaudesert Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,95
11592416924,Young Aussie Enterprise Inc,Employment and training,Small,0,1,5
11592509426,Love Violin For Children Australia Incorporated,Other education,Small,1,2,15
11593129918,Kyogle Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,34
11593458271,The Trustee For Marcus De Vedas Estate,Grant-making activities,Small,0,0,0
11593743828,Charity And Volunteering Vietnam Brisbane Association,Other education,Small,0,0,15
11595120337,Abundant Life Church Incorporated,Emergency and relief,Small,0,0,25
11599680696,Yasminah's Gift Of Hope,Other activity,Small,0,0,25
11600812833,Joint Effort,Housing activities,Small,2,2,1
11603517984,Buddharatana Monastery Of Australia Inc.,Religious activities,Small,0,0,10
11606463884,Mount Barker And Districts Agricultural Society Inc,,Small,0,0,6
11606989353,Brisbane Valley Care And Concern Meals On Wheels Inc,Social services,Small,0,1,70
